id,iter,italian_nloc,italian_ccn,italian_token_count,italian_param_count,italian_length,italian_top_nesting_level,italian_flake8,italian_pylint,english_nloc,english_ccn,english_token_count,english_param_count,english_length,english_top_nesting_level,english_flake8,english_pylint,chinese_nloc,chinese_ccn,chinese_token_count,chinese_param_count,chinese_length,chinese_top_nesting_level,chinese_flake8,chinese_pylint,hindi_nloc,hindi_ccn,hindi_token_count,hindi_param_count,hindi_length,hindi_top_nesting_level,hindi_flake8,hindi_pylint,spanish_nloc,spanish_ccn,spanish_token_count,spanish_param_count,spanish_length,spanish_top_nesting_level,spanish_flake8,spanish_pylint
ClassEval_0::is_start_with,5,3,2,29,2,13,1,3,5,3,2,29,2,13,1,3,5,3,2,29,2,13,1,2,5,3,2,29,2,13,1,3,5,3,2,29,2,13,1,4,5
ClassEval_0::is_start_with,6,3,2,29,2,13,1,3,5,3,2,29,2,13,1,3,5,3,2,29,2,13,1,2,5,3,2,29,2,13,1,3,5,3,2,29,2,13,1,4,5
ClassEval_0::is_start_with,7,3,2,29,2,13,1,3,5,3,2,29,2,13,1,3,5,3,2,29,2,13,1,2,5,3,2,29,2,13,1,3,5,3,2,29,2,13,1,4,5
ClassEval_0::is_start_with,8,3,2,29,2,13,1,3,5,3,2,29,2,13,1,3,5,3,2,29,2,13,1,2,5,3,2,29,2,13,1,3,5,3,2,29,2,13,1,4,5
ClassEval_0::is_start_with,9,3,2,29,2,13,1,3,5,3,2,29,2,13,1,3,5,3,2,29,2,13,1,2,5,3,2,29,2,13,1,3,5,3,2,29,2,13,1,4,5
ClassEval_0::set_current_user_info_and_log,0,3,1,19,2,12,1,2,7,3,1,19,2,12,1,2,7,9,2,64,2,23,1,8,12,3,1,18,2,12,1,2,6,3,1,19,2,12,1,2,7
ClassEval_0::set_current_user_info_and_log,1,3,1,19,2,12,1,2,7,3,1,19,2,12,1,2,7,9,2,64,2,23,1,8,12,3,1,18,2,12,1,2,6,3,1,19,2,12,1,2,7
ClassEval_0::set_current_user_info_and_log,2,6,1,39,2,15,1,2,7,3,1,19,2,12,1,2,7,7,1,50,2,21,1,6,11,3,1,18,2,12,1,2,6,3,1,19,2,12,1,2,7
ClassEval_0::set_current_user_info_and_log,3,3,1,19,2,12,1,2,7,3,1,19,2,12,1,2,7,7,1,50,2,21,1,6,11,3,1,18,2,12,1,2,6,3,1,19,2,12,1,2,7
ClassEval_0::set_current_user_info_and_log,4,3,1,19,2,12,1,2,7,3,1,19,2,12,1,2,7,7,1,50,2,21,1,6,11,3,1,18,2,12,1,2,6,3,1,19,2,12,1,2,7
ClassEval_0::set_current_user_info_and_log,5,3,1,19,2,12,1,2,7,3,1,19,2,12,1,2,7,6,2,41,2,18,1,4,7,3,1,18,2,12,1,2,6,3,1,19,2,12,1,2,7
ClassEval_0::set_current_user_info_and_log,6,3,1,19,2,12,1,2,7,3,1,19,2,12,1,2,7,7,1,50,2,21,1,6,11,3,1,18,2,12,1,2,6,3,1,19,2,12,1,2,7
ClassEval_0::set_current_user_info_and_log,7,3,1,19,2,12,1,2,7,3,1,19,2,12,1,2,7,6,2,41,2,18,1,4,7,3,1,18,2,12,1,2,6,3,1,19,2,12,1,2,7
ClassEval_0::set_current_user_info_and_log,8,3,1,19,2,12,1,2,7,3,1,19,2,12,1,2,7,6,2,41,2,18,1,4,7,3,1,18,2,12,1,2,6,3,1,19,2,12,1,2,7
ClassEval_0::set_current_user_info_and_log,9,3,1,19,2,12,1,2,7,3,1,19,2,12,1,2,7,7,1,50,2,21,1,6,11,3,1,18,2,12,1,2,6,3,1,19,2,12,1,2,7
ClassEval_10::calculate_binary_info,0,14,2,80,1,25,1,8,11,14,2,80,1,25,1,8,11,14,2,80,1,25,1,7,10,14,2,80,1,25,1,8,11,12,3,69,1,27,1,10,11
ClassEval_10::calculate_binary_info,1,14,2,80,1,25,1,8,11,14,2,80,1,25,1,8,11,14,2,80,1,25,1,7,10,14,2,80,1,25,1,8,11,12,3,69,1,27,1,10,11
ClassEval_10::calculate_binary_info,2,14,2,80,1,25,1,8,11,13,2,81,1,24,1,8,13,14,3,91,1,26,1,9,11,14,2,80,1,25,1,8,11,14,2,76,1,25,1,8,11
ClassEval_10::calculate_binary_info,3,14,2,80,1,25,1,8,11,14,2,80,1,25,1,8,11,14,3,91,1,26,1,9,11,14,2,80,1,25,1,8,11,14,2,76,1,25,1,8,11
ClassEval_10::calculate_binary_info,4,14,2,80,1,25,1,8,11,14,2,80,1,25,1,8,11,14,3,91,1,26,1,9,11,14,2,80,1,25,1,8,11,12,3,69,1,27,1,10,11
ClassEval_10::calculate_binary_info,5,14,2,80,1,25,1,8,11,13,2,81,1,24,1,8,13,14,3,91,1,26,1,9,11,14,2,80,1,25,1,8,11,13,5,98,1,23,1,8,13
ClassEval_10::calculate_binary_info,6,14,2,80,1,25,1,8,11,13,2,75,1,23,1,7,11,14,3,91,1,26,1,9,11,13,5,106,1,23,1,8,13,14,2,76,1,25,1,8,11
ClassEval_10::calculate_binary_info,7,14,2,80,1,25,1,8,11,14,2,80,1,25,1,8,11,14,3,91,1,26,1,9,11,13,5,106,1,23,1,8,13,12,3,69,1,27,1,10,11
ClassEval_10::calculate_binary_info,8,14,2,80,1,25,1,8,11,14,2,80,1,25,1,8,11,14,3,91,1,26,1,9,11,13,5,106,1,23,1,9,13,14,2,76,1,25,1,8,11
ClassEval_10::calculate_binary_info,9,14,2,80,1,25,1,8,11,14,2,80,1,25,1,8,11,14,3,91,1,26,1,9,11,14,2,80,1,25,1,8,11,12,3,69,1,27,1,10,11
ClassEval_10::clean_non_binary_chars,0,2,3,26,1,10,1,5,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,5,6
ClassEval_10::clean_non_binary_chars,1,2,3,26,1,10,1,5,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,5,6
ClassEval_10::clean_non_binary_chars,2,2,3,26,1,10,1,5,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,5,6
ClassEval_10::clean_non_binary_chars,3,2,3,26,1,10,1,5,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,5,6
ClassEval_10::clean_non_binary_chars,4,2,3,26,1,10,1,5,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,5,6
ClassEval_10::clean_non_binary_chars,5,2,3,26,1,10,1,5,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,5,6
ClassEval_10::clean_non_binary_chars,6,2,3,26,1,10,1,5,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,5,6
ClassEval_10::clean_non_binary_chars,7,2,3,26,1,10,1,5,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,5,6
ClassEval_10::clean_non_binary_chars,8,2,3,26,1,10,1,5,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,5,6
ClassEval_10::clean_non_binary_chars,9,2,3,26,1,10,1,5,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,4,6,2,3,26,1,10,1,5,6
ClassEval_10::convert_to_ascii,0,6,2,51,1,16,1,3,7,6,2,51,1,16,1,3,7,7,3,68,1,18,1,4,8,9,4,72,1,21,1,5,8,7,3,59,1,17,1,3,7
ClassEval_10::convert_to_ascii,1,6,2,51,1,16,1,3,7,6,2,51,1,16,1,3,7,7,3,68,1,18,1,4,8,9,4,72,1,22,1,6,9,7,3,59,1,17,1,3,7
ClassEval_10::convert_to_ascii,2,6,2,51,1,16,1,3,7,6,2,51,1,16,1,3,7,7,2,52,1,19,1,5,8,9,4,72,1,21,1,5,8,7,3,59,1,17,1,3,7
ClassEval_10::convert_to_ascii,3,6,2,51,1,16,1,3,7,6,2,51,1,16,1,3,7,7,2,52,1,19,1,5,8,9,4,72,1,21,1,5,8,7,3,59,1,17,1,3,7
ClassEval_10::convert_to_ascii,4,6,2,51,1,16,1,3,7,6,2,51,1,16,1,3,7,7,2,52,1,19,1,5,8,9,4,72,1,21,1,5,8,7,3,59,1,17,1,3,7
ClassEval_10::convert_to_ascii,5,6,2,51,1,16,1,3,7,6,2,51,1,16,1,3,7,7,2,52,1,19,1,5,8,9,4,72,1,22,1,6,9,7,3,59,1,17,1,3,7
ClassEval_10::convert_to_ascii,6,6,2,51,1,16,1,3,7,6,2,51,1,16,1,3,7,7,2,52,1,19,1,5,8,9,4,72,1,21,1,5,8,7,3,59,1,17,1,3,7
ClassEval_10::convert_to_ascii,7,6,2,51,1,16,1,3,7,6,2,51,1,16,1,3,7,7,2,52,1,19,1,5,8,9,4,72,1,21,1,5,8,6,2,51,1,16,1,3,7
ClassEval_10::convert_to_ascii,8,6,2,51,1,16,1,3,7,6,2,51,1,16,1,3,7,7,2,52,1,19,1,5,8,9,4,72,1,21,1,5,8,7,3,59,1,17,1,3,7
ClassEval_10::convert_to_ascii,9,6,2,51,1,16,1,3,7,6,2,51,1,16,1,3,7,7,2,52,1,19,1,5,8,9,4,72,1,22,1,6,9,6,2,51,1,16,1,3,7
ClassEval_10::convert_to_utf8,0,7,3,70,1,19,1,5,8,8,3,69,1,20,1,5,8,8,3,69,1,18,1,4,7,9,5,78,1,21,1,7,9,7,3,70,1,19,1,5,8
ClassEval_10::convert_to_utf8,1,7,3,70,1,19,1,5,8,5,3,59,1,16,1,5,8,8,3,69,1,18,1,4,7,9,5,78,1,21,1,7,9,7,3,70,1,19,1,5,8
ClassEval_10::convert_to_utf8,2,7,3,70,1,19,1,5,8,8,3,69,1,20,1,5,8,7,2,61,1,18,1,4,7,9,5,78,1,21,1,7,9,7,3,70,1,19,1,5,8
ClassEval_10::convert_to_utf8,3,7,3,70,1,19,1,5,8,8,3,69,1,19,1,5,8,7,2,61,1,18,1,4,7,9,5,78,1,21,1,7,9,7,3,70,1,19,1,5,8
ClassEval_10::convert_to_utf8,4,7,3,70,1,19,1,5,8,8,3,69,1,20,1,5,8,7,2,61,1,18,1,4,7,9,5,78,1,21,1,7,9,7,3,70,1,19,1,5,8
ClassEval_10::convert_to_utf8,5,7,3,70,1,19,1,5,8,8,3,69,1,20,1,5,8,8,3,69,1,18,1,4,7,9,5,78,1,21,1,7,9,7,3,70,1,19,1,5,8
ClassEval_10::convert_to_utf8,6,7,3,70,1,19,1,5,8,8,3,69,1,20,1,5,8,7,2,61,1,18,1,4,7,9,5,78,1,21,1,7,9,7,3,70,1,19,1,5,8
ClassEval_10::convert_to_utf8,7,7,3,70,1,19,1,5,8,7,2,61,1,19,1,5,8,7,2,61,1,18,1,4,7,9,5,78,1,21,1,7,9,7,3,70,1,19,1,5,8
ClassEval_10::convert_to_utf8,8,7,3,70,1,19,1,5,8,8,3,69,1,20,1,5,8,8,3,69,1,18,1,4,7,9,5,78,1,21,1,7,9,7,3,70,1,19,1,5,8
ClassEval_10::convert_to_utf8,9,7,3,70,1,19,1,5,8,7,2,61,1,19,1,5,8,7,2,61,1,18,1,4,7,9,5,78,1,21,1,7,9,7,3,70,1,19,1,5,8
ClassEval_11::add,0,2,1,12,2,12,1,3,6,6,5,48,2,18,1,6,8,6,5,48,2,18,1,5,8,6,5,48,2,23,1,6,9,2,1,12,2,12,1,3,6
ClassEval_11::add,1,2,1,12,2,12,1,3,6,6,5,48,2,18,1,6,8,6,5,48,2,18,1,5,8,6,5,48,2,23,1,6,9,2,1,12,2,12,1,3,6
ClassEval_11::add,2,2,1,12,2,12,1,3,6,6,5,48,2,18,1,6,8,6,5,48,2,17,1,3,7,6,5,48,2,23,1,6,9,2,1,12,2,12,1,3,6
ClassEval_11::add,3,2,1,12,2,12,1,3,6,6,5,48,2,18,1,6,8,6,5,48,2,17,1,3,7,6,5,48,2,23,1,6,9,2,1,12,2,12,1,3,6
ClassEval_11::add,4,2,1,12,2,12,1,3,6,6,5,48,2,18,1,6,8,6,5,48,2,17,1,3,7,6,5,48,2,23,1,6,9,2,1,12,2,12,1,3,6
ClassEval_11::add,5,2,1,12,2,12,1,3,6,6,5,48,2,18,1,6,8,6,5,48,2,17,1,3,7,6,5,48,2,22,1,6,9,2,1,12,2,12,1,3,6
ClassEval_11::add,6,2,1,12,2,12,1,3,6,6,5,48,2,18,1,6,8,6,5,48,2,17,1,3,7,6,5,48,2,23,1,6,9,2,1,12,2,12,1,3,6
ClassEval_11::add,7,2,1,12,2,12,1,3,6,6,5,48,2,18,1,6,8,6,5,48,2,17,1,3,7,6,5,48,2,22,1,7,9,2,1,12,2,12,1,3,6
ClassEval_11::add,8,2,1,12,2,12,1,3,6,6,5,48,2,18,1,6,8,6,5,48,2,17,1,3,7,6,5,48,2,23,1,6,9,2,1,12,2,12,1,3,6
ClassEval_11::add,9,2,1,12,2,12,1,3,6,6,5,48,2,18,1,6,8,6,5,48,2,17,1,3,7,6,5,48,2,23,1,6,9,2,1,12,2,12,1,3,6
ClassEval_11::check,0,6,4,35,1,16,1,2,5,6,4,35,1,16,1,2,5,6,4,35,1,16,1,1,4,6,4,35,1,16,1,2,5,6,4,35,1,16,1,2,5
ClassEval_11::check,1,6,4,35,1,16,1,2,5,6,4,35,1,16,1,2,5,6,4,35,1,16,1,1,4,6,4,35,1,16,1,2,5,6,4,35,1,16,1,2,5
ClassEval_11::check,2,6,4,35,1,16,1,2,5,6,4,35,1,16,1,2,5,6,4,35,1,16,1,1,4,6,4,35,1,16,1,2,5,6,4,35,1,16,1,2,5
ClassEval_11::check,3,6,4,35,1,16,1,2,5,6,4,35,1,16,1,2,5,6,4,35,1,16,1,1,4,6,4,35,1,16,1,2,5,6,4,35,1,16,1,2,5
ClassEval_11::check,4,6,4,35,1,16,1,2,5,6,4,35,1,16,1,2,5,6,4,35,1,16,1,1,4,6,4,35,1,16,1,2,5,6,4,35,1,16,1,2,5
ClassEval_11::check,5,6,4,35,1,16,1,2,5,6,4,35,1,16,1,2,5,6,4,35,1,16,1,1,4,6,4,35,1,16,1,2,5,6,4,35,1,16,1,2,5
ClassEval_11::check,6,6,4,35,1,16,1,2,5,6,4,35,1,16,1,2,5,6,4,35,1,16,1,1,4,6,4,35,1,16,1,2,5,6,4,35,1,16,1,2,5
ClassEval_11::check,7,6,4,35,1,16,1,2,5,6,4,35,1,16,1,2,5,6,4,35,1,16,1,1,4,6,4,35,1,16,1,2,5,6,4,35,1,16,1,2,5
ClassEval_11::check,8,6,4,35,1,16,1,2,5,6,4,35,1,16,1,2,5,6,4,35,1,16,1,1,4,6,4,35,1,16,1,2,5,6,4,35,1,16,1,2,5
ClassEval_11::check,9,6,4,35,1,16,1,2,5,6,4,35,1,16,1,2,5,6,4,35,1,16,1,1,4,6,4,35,1,16,1,2,5,6,4,35,1,16,1,2,5
ClassEval_11::has,0,2,1,16,2,12,1,4,6,6,5,46,2,18,1,6,8,6,5,46,2,16,1,2,5,2,1,16,2,13,1,5,7,2,1,16,2,12,1,4,8
ClassEval_11::has,1,2,1,16,2,12,1,4,6,6,5,46,2,18,1,6,8,6,5,46,2,16,1,2,5,2,1,16,2,13,1,5,7,2,1,16,2,12,1,4,8
ClassEval_11::has,2,2,1,16,2,12,1,4,6,6,5,46,2,18,1,6,8,6,5,46,2,16,1,2,5,2,1,16,2,13,1,5,7,2,1,16,2,12,1,4,8
ClassEval_11::has,3,2,1,16,2,12,1,4,6,6,5,46,2,18,1,6,8,6,5,46,2,16,1,2,5,2,1,16,2,13,1,5,7,2,1,16,2,12,1,4,8
ClassEval_11::has,4,2,1,16,2,12,1,4,6,6,5,46,2,18,1,6,8,6,5,46,2,16,1,2,5,2,1,16,2,13,1,5,7,2,1,16,2,12,1,4,7
ClassEval_11::has,5,2,1,16,2,12,1,4,6,6,5,46,2,18,1,6,8,6,5,46,2,16,1,2,5,2,1,16,2,13,1,5,7,2,1,16,2,12,1,4,8
ClassEval_11::has,6,2,1,16,2,12,1,4,6,6,5,46,2,18,1,6,8,6,5,46,2,16,1,2,5,2,1,16,2,13,1,5,7,2,1,16,2,12,1,4,8
ClassEval_11::has,7,2,1,16,2,12,1,4,6,6,5,46,2,18,1,6,8,2,1,16,2,12,1,2,5,2,1,16,2,13,1,5,7,2,1,16,2,12,1,4,7
ClassEval_11::has,8,2,1,16,2,12,1,4,6,6,5,46,2,18,1,6,8,6,5,46,2,16,1,2,5,6,5,46,2,19,1,7,9,2,1,16,2,12,1,4,7
ClassEval_11::has,9,2,1,16,2,12,1,4,6,6,5,46,2,18,1,6,8,6,5,46,2,16,1,2,5,2,1,16,2,13,1,5,7,2,1,16,2,12,1,4,7
ClassEval_11::remove,0,2,1,13,2,12,1,3,5,6,5,49,2,19,1,6,8,2,1,13,2,12,1,2,5,2,1,13,2,13,1,4,6,2,1,13,2,12,1,3,5
ClassEval_11::remove,1,2,1,13,2,12,1,3,5,6,5,49,2,19,1,6,8,2,1,13,2,12,1,2,5,2,1,13,2,13,1,4,6,2,1,13,2,12,1,3,5
ClassEval_11::remove,2,2,1,13,2,12,1,3,5,6,5,49,2,19,1,6,8,2,1,13,2,12,1,2,5,2,1,13,2,13,1,4,6,2,1,13,2,12,1,3,5
ClassEval_11::remove,3,2,1,13,2,12,1,3,5,6,5,49,2,19,1,6,8,2,1,13,2,12,1,2,5,2,1,13,2,13,1,4,6,2,1,13,2,12,1,3,5
ClassEval_11::remove,4,2,1,13,2,12,1,3,5,6,5,49,2,19,1,6,8,2,1,13,2,12,1,2,5,2,1,13,2,13,1,4,6,2,1,13,2,12,1,3,5
ClassEval_11::remove,5,2,1,13,2,12,1,3,5,6,5,49,2,19,1,6,8,2,1,13,2,12,1,2,5,2,1,13,2,13,1,4,6,2,1,13,2,12,1,3,5
ClassEval_11::remove,6,2,1,13,2,12,1,3,5,6,5,49,2,19,1,6,8,2,1,13,2,12,1,2,5,2,1,13,2,13,1,4,6,2,1,13,2,12,1,3,5
ClassEval_11::remove,7,2,1,13,2,12,1,3,5,6,5,49,2,19,1,6,8,2,1,13,2,12,1,2,5,2,1,13,2,13,1,4,6,2,1,13,2,12,1,3,5
ClassEval_11::remove,8,2,1,13,2,12,1,3,5,6,5,49,2,19,1,6,8,2,1,13,2,12,1,2,5,2,1,13,2,13,1,4,6,2,1,13,2,12,1,3,5
ClassEval_11::remove,9,2,1,13,2,12,1,3,5,6,5,49,2,19,1,6,8,2,1,13,2,12,1,2,5,2,1,13,2,13,1,4,6,2,1,13,2,12,1,3,5
ClassEval_12::calculate_hand_value,0,16,6,77,2,33,1,12,11,16,6,77,2,33,1,9,11,16,6,77,2,33,1,6,8,16,6,77,2,33,1,9,10,16,6,77,2,34,1,11,11
ClassEval_12::calculate_hand_value,1,16,6,77,2,33,1,12,11,16,6,77,2,33,1,9,11,16,6,77,2,33,1,6,8,16,6,77,2,33,1,9,10,16,6,77,2,34,1,11,11
ClassEval_12::calculate_hand_value,2,16,6,77,2,33,1,12,11,16,6,77,2,33,1,9,11,16,6,77,2,33,1,6,8,16,6,77,2,33,1,9,10,16,6,77,2,34,1,11,11
ClassEval_12::calculate_hand_value,3,16,6,77,2,33,1,12,11,16,6,77,2,33,1,9,11,16,6,77,2,33,1,6,8,16,6,77,2,33,1,9,10,16,6,77,2,34,1,11,11
ClassEval_12::calculate_hand_value,4,16,6,77,2,33,1,12,11,16,6,77,2,33,1,9,11,16,6,77,2,33,1,6,8,16,6,77,2,33,1,9,10,16,6,77,2,34,1,11,11
ClassEval_12::calculate_hand_value,5,16,6,77,2,33,1,12,11,16,6,77,2,33,1,9,11,16,6,77,2,33,1,6,8,16,6,77,2,33,1,9,10,16,6,77,2,34,1,12,11
ClassEval_12::calculate_hand_value,6,16,6,77,2,33,1,12,11,16,6,77,2,33,1,9,11,16,6,77,2,33,1,6,8,16,6,77,2,33,1,9,10,16,6,77,2,34,1,12,11
ClassEval_12::calculate_hand_value,7,16,6,77,2,33,1,12,11,16,6,77,2,33,1,9,11,16,6,77,2,33,1,6,8,16,6,77,2,33,1,9,10,16,6,77,2,34,1,11,11
ClassEval_12::calculate_hand_value,8,16,6,77,2,33,1,12,11,16,6,77,2,33,1,9,11,16,6,77,2,33,1,6,8,16,6,77,2,33,1,9,10,16,6,77,2,34,1,12,11
ClassEval_12::calculate_hand_value,9,16,6,77,2,33,1,12,11,16,6,77,2,33,1,9,11,16,6,77,2,33,1,6,8,16,6,77,2,33,1,9,10,16,6,77,2,34,1,12,11
ClassEval_12::check_winner,0,30,11,131,4,70,2,11,16,13,5,59,3,27,1,6,11,13,5,59,3,28,1,3,10,17,8,77,3,35,1,6,11,34,14,149,4,75,2,11,16
ClassEval_12::check_winner,1,30,11,131,4,70,2,11,16,13,5,59,3,27,1,6,11,13,5,59,3,28,1,3,10,17,8,77,3,35,1,6,11,30,11,131,4,70,2,11,16
ClassEval_12::check_winner,2,30,11,131,4,70,2,11,16,13,5,59,3,27,1,6,11,13,5,59,3,28,1,3,10,17,8,77,3,35,1,6,11,30,11,131,4,70,2,11,16
ClassEval_12::check_winner,3,30,11,131,4,70,2,11,16,13,5,59,3,27,1,6,11,13,5,59,3,28,1,3,10,17,8,77,3,35,1,6,11,34,14,149,4,75,2,11,16
ClassEval_12::check_winner,4,30,11,131,4,70,2,11,16,13,5,59,3,27,1,6,11,13,5,59,3,28,1,3,10,17,8,77,3,35,1,6,11,30,11,131,4,70,2,11,16
ClassEval_12::check_winner,5,30,11,131,4,70,2,11,16,13,5,59,3,27,1,6,11,13,5,59,3,28,1,3,10,17,8,77,3,35,1,6,11,34,14,149,4,75,2,11,16
ClassEval_12::check_winner,6,30,11,131,4,70,2,11,16,13,5,59,3,27,1,6,11,13,5,59,3,28,1,3,10,30,11,131,4,70,2,11,14,34,14,149,4,75,2,11,16
ClassEval_12::check_winner,7,30,11,131,4,70,2,11,16,13,5,59,3,27,1,6,11,13,5,59,3,28,1,3,10,17,8,77,3,35,1,6,11,34,14,149,4,75,2,11,16
